last_new_job,target,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,training_hours
2,1,0.865,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,142
never,1,0.698,,No relevent experience,,,,2,,Pvt Ltd,228
never,1,0.624,Male,No relevent experience,Full time course,Graduate,STEM,<1,,,18
1,1,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,13
2,1,0.682,,Has relevent experience,no_enrollment,Graduate,STEM,5,Oct-49,Pvt Ltd,172
2,1,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,14
2,1,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,Oct-49,Pvt Ltd,27
1,1,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,24
2,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,2
1,1,0.949,Male,No relevent experience,Full time course,Graduate,STEM,4,,,160
2,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,26
2,1,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,20
3,1,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,60
1,1,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,3,10000+,Pvt Ltd,133
4,1,0.698,Female,No relevent experience,Full time course,Masters,STEM,5,,,21
2,1,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,,,100
1,1,0.92,Male,Has relevent experience,Full time course,High School,,4,,,112
4,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,49
3,1,0.925,Male,Has relevent experience,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,141
1,1,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,18,,,198
>4,1,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Public Sector,87
,1,0.698,Male,No relevent experience,Full time course,Graduate,STEM,5,5000-9999,,24
>4,1,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,10,Oct-49,Pvt Ltd,105
>4,1,0.789,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,Oct-49,Pvt Ltd,42
3,1,0.91,Male,No relevent experience,Full time course,Masters,STEM,13,,,17
1,1,0.887,,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,31
1,1,0.903,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,55
,1,0.55,,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,7
>4,1,0.92,,Has relevent experience,Full time course,Graduate,Business Degree,>20,,,90
1,1,0.624,,Has relevent experience,no_enrollment,Masters,STEM,<1,Oct-49,Pvt Ltd,202
never,1,0.91,Male,No relevent experience,Full time course,Graduate,STEM,2,,,80
2,1,0.91,,No relevent experience,Full time course,Graduate,STEM,2,,,108
>4,1,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,29
1,1,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,6,Oct-49,Pvt Ltd,8
never,1,0.624,,No relevent experience,Full time course,Graduate,STEM,7,,,20
1,1,0.666,Male,Has relevent experience,Part time course,Graduate,STEM,9,Oct-49,Pvt Ltd,19
>4,1,0.666,Other,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,23
1,1,0.624,Male,No relevent experience,,Graduate,STEM,<1,,,107
1,1,0.92,,No relevent experience,no_enrollment,High School,,5,,,20
1,1,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,,,14
1,1,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,7,,,16
never,1,0.64,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,40
1,1,0.924,Male,No relevent experience,Full time course,Graduate,STEM,2,,,39
1,1,0.624,Male,No relevent experience,Full time course,,,4,1000-4999,Pvt Ltd,9
1,1,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,3,,Public Sector,129
1,1,0.92,Male,No relevent experience,Full time course,High School,,3,,,126
1,1,0.92,,No relevent experience,no_enrollment,High School,,4,,,45
1,1,0.804,Female,Has relevent experience,Part time course,Graduate,STEM,2,,,95
>4,1,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,29
>4,1,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,25
2,1,0.855,Female,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,42
never,1,0.804,,No relevent experience,no_enrollment,Graduate,STEM,3,,,53
2,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,<10,,60
2,1,0.698,Male,No relevent experience,Full time course,Masters,STEM,3,,NGO,57
>4,1,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,,,26
>4,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,,,8
3,1,0.878,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,32
2,1,0.624,Male,Has relevent experience,Full time course,Masters,STEM,9,50-99,Pvt Ltd,46
>4,1,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,23
never,1,0.624,,No relevent experience,Full time course,Masters,STEM,4,,,46
never,1,0.92,Female,No relevent experience,no_enrollment,Graduate,STEM,<1,,,22
1,1,0.887,Male,No relevent experience,Full time course,Graduate,STEM,4,,,52
4,1,0.897,Male,No relevent experience,Full time course,Masters,STEM,5,,,288
,1,0.698,Male,Has relevent experience,Full time course,Masters,,,,,44
never,1,0.55,,No relevent experience,Full time course,Graduate,STEM,4,,,55
1,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,,,198
>4,1,0.896,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,23
1,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,Oct-49,Pvt Ltd,98
1,1,0.92,Male,No relevent experience,Full time course,Graduate,STEM,1,,,53
2,1,0.884,Female,Has relevent experience,no_enrollment,Masters,STEM,3,,,322
1,1,0.624,Male,No relevent experience,Full time course,Graduate,STEM,1,50-99,,72
2,1,0.698,Male,No relevent experience,Part time course,Graduate,STEM,4,,,7
never,1,0.766,Other,Has relevent experience,Full time course,Graduate,STEM,15,5000-9999,,30
2,1,0.624,Male,Has relevent experience,Full time course,Masters,STEM,10,50-99,Pvt Ltd,61
1,1,0.91,Male,No relevent experience,Full time course,Graduate,STEM,10,,,8
>4,1,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Public Sector,11
1,1,0.827,Male,Has relevent experience,no_enrollment,Graduate,Arts,9,1000-4999,Pvt Ltd,76
1,1,0.767,,Has relevent experience,Part time course,Masters,STEM,6,50-99,Pvt Ltd,56
never,1,0.624,Male,No relevent experience,no_enrollment,Primary School,,2,,,12
1,1,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,13
1,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,18
2,1,0.624,,Has relevent experience,no_enrollment,Masters,STEM,2,10000+,Pvt Ltd,90
2,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,,,15
>4,1,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,220
never,1,0.558,Male,No relevent experience,no_enrollment,Graduate,STEM,8,,,47
4,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,78
1,1,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,5,Oct-49,Pvt Ltd,8
2,1,0.92,Male,Has relevent experience,Full time course,High School,,10,,,81
never,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,18
1,1,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,8,,,25
1,1,0.558,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,<10,Early Stage Startup,146
>4,1,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,50
never,1,0.624,,No relevent experience,Full time course,High School,,<1,,,56
1,1,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,,82
1,1,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,43
>4,1,0.55,Male,Has relevent experience,no_enrollment,,,15,100-500,Pvt Ltd,15
1,1,0.74,Male,No relevent experience,no_enrollment,Graduate,STEM,4,,,21
1,1,0.754,Male,No relevent experience,Part time course,High School,,4,1000-4999,Pvt Ltd,280
1,1,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,Pvt Ltd,15
2,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,,,43
1,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,54
3,1,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,3,500-999,Pvt Ltd,11
1,1,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,9,100-500,Pvt Ltd,74
1,1,0.624,,No relevent experience,Full time course,Masters,STEM,3,,,57
2,1,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,<10,Pvt Ltd,141
1,1,0.924,Male,Has relevent experience,Full time course,High School,,8,100-500,Public Sector,41
2,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,104
>4,1,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,44
1,1,0.698,Female,No relevent experience,no_enrollment,Masters,STEM,7,,,98
1,1,0.766,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,28
never,1,0.767,,Has relevent experience,,Graduate,STEM,>20,500-999,Public Sector,28
1,1,0.516,,Has relevent experience,Full time course,Graduate,STEM,4,,,15
,1,0.682,,No relevent experience,Full time course,Graduate,STEM,3,,,32
1,1,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,4,Oct-49,Pvt Ltd,11
1,1,0.624,,No relevent experience,Full time course,Masters,STEM,3,,,20
2,1,0.939,Male,No relevent experience,Full time course,Graduate,STEM,7,,,31
1,1,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,61
4,1,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,5,10000+,Pvt Ltd,168
2,1,0.767,Male,No relevent experience,Full time course,High School,,4,,,17
4,1,0.887,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,42
1,1,0.698,Male,Has relevent experience,,High School,,3,,,22
>4,1,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,120
4,1,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,4,50-99,Pvt Ltd,198
2,1,0.92,,Has relevent experience,no_enrollment,Graduate,Other,3,<10,Pvt Ltd,18
4,1,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,80
1,1,0.802,Female,No relevent experience,Part time course,Graduate,STEM,3,50-99,Pvt Ltd,144
never,1,0.624,,No relevent experience,Full time course,Graduate,STEM,1,,,18
3,1,0.689,,Has relevent experience,,Graduate,STEM,4,50-99,Pvt Ltd,31
2,1,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,47
>4,1,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,40
2,1,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,25
2,1,0.55,Male,Has relevent experience,Full time course,Masters,STEM,4,100-500,NGO,37
never,1,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,21
1,1,0.92,Male,Has relevent experience,no_enrollment,Primary School,,12,,,70
1,1,0.92,Male,No relevent experience,no_enrollment,Masters,STEM,6,1000-4999,Public Sector,106
>4,1,0.769,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,NGO,35
never,1,0.804,Male,No relevent experience,Full time course,Graduate,STEM,3,,,73
3,1,0.924,Male,No relevent experience,Full time course,Graduate,STEM,13,,,41
1,1,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,,,19
>4,1,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,3,Oct-49,Pvt Ltd,116
1,1,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,4,<10,Early Stage Startup,78
1,1,0.493,,No relevent experience,Full time course,Graduate,STEM,2,,,33
1,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Funded Startup,206
1,1,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,20
2,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,,,31
1,1,0.555,,Has relevent experience,no_enrollment,Graduate,STEM,11,100-500,Pvt Ltd,124
2,1,0.769,Male,No relevent experience,no_enrollment,Graduate,STEM,11,,,18
never,1,0.624,Male,No relevent experience,,Graduate,STEM,5,,,24
,1,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,11,,,11
2,1,0.804,Male,No relevent experience,Full time course,Graduate,STEM,2,,,116
2,1,0.855,Female,No relevent experience,Full time course,Graduate,STEM,3,,,17
1,1,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,500-999,Pvt Ltd,40
1,1,0.624,Male,No relevent experience,no_enrollment,High School,,4,,,28
1,1,0.878,Male,No relevent experience,Full time course,Graduate,STEM,3,,,26
1,1,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,,,70
>4,1,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,55
1,1,0.55,,Has relevent experience,no_enrollment,Graduate,STEM,8,,,23
3,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,Oct-49,Pvt Ltd,48
>4,1,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,156
1,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Funded Startup,103
3,1,0.624,,Has relevent experience,Full time course,Graduate,STEM,6,50-99,Early Stage Startup,74
1,1,0.624,,Has relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,71
1,1,0.92,Other,Has relevent experience,no_enrollment,Masters,STEM,18,,,45
3,1,0.555,Female,Has relevent experience,Part time course,Masters,STEM,>20,10000+,NGO,135
>4,1,0.624,Male,No relevent experience,no_enrollment,Masters,STEM,6,500-999,NGO,138
1,1,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,77
1,1,0.843,Female,Has relevent experience,no_enrollment,Masters,STEM,7,50-99,Pvt Ltd,6
>4,1,0.738,Male,Has relevent experience,no_enrollment,Masters,STEM,13,1000-4999,Public Sector,66
2,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,Oct-49,Pvt Ltd,89
1,1,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Pvt Ltd,32
1,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,,17
1,1,0.682,,No relevent experience,no_enrollment,Graduate,STEM,2,,,72
1,1,0.92,Male,No relevent experience,Full time course,High School,,4,,,111
1,1,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,17
1,1,0.722,,Has relevent experience,no_enrollment,Graduate,STEM,6,500-999,,12
1,1,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Funded Startup,172
2,1,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,28
never,1,0.897,,No relevent experience,Full time course,Graduate,STEM,<1,,,18
1,1,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,3,,,326
1,1,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,,,10
>4,1,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,56
never,1,0.624,Male,No relevent experience,Full time course,Graduate,STEM,6,,,61
1,1,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,,,57
1,1,0.689,Male,No relevent experience,Full time course,High School,,1,,,30
1,1,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,,,48
1,1,0.895,Female,No relevent experience,Full time course,Graduate,STEM,7,,NGO,21
1,1,0.767,,No relevent experience,Full time course,Primary School,,3,,,50
2,1,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Funded Startup,20
1,1,0.698,Male,No relevent experience,Full time course,Graduate,STEM,3,,,45
1,1,0.92,,No relevent experience,Full time course,Graduate,Humanities,<1,50-99,Public Sector,196
>4,1,0.843,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Oct-49,Pvt Ltd,21
2,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,94
2,1,0.92,Male,No relevent experience,Part time course,,,9,,,77
1,1,0.479,Female,No relevent experience,Part time course,Masters,STEM,9,,,99
never,1,0.624,Male,No relevent experience,Full time course,Graduate,STEM,5,,Pvt Ltd,9
>4,1,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,14,,,140
1,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,500-999,Funded Startup,5
3,1,0.754,Male,Has relevent experience,Part time course,Graduate,STEM,8,,,110
>4,1,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,5,,,13
1,1,0.624,,Has relevent experience,Part time course,Graduate,STEM,3,,,9
never,1,0.624,,No relevent experience,Full time course,Masters,STEM,4,,,43
2,1,0.754,,Has relevent experience,no_enrollment,Graduate,STEM,11,,,154
,1,0.479,Male,No relevent experience,Full time course,Masters,Other,1,Oct-49,Other,23
1,1,0.893,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,50-99,Pvt Ltd,50
never,1,0.624,Male,No relevent experience,Full time course,High School,,6,,,44
4,1,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,151
1,1,0.897,,Has relevent experience,no_enrollment,Masters,STEM,5,10000+,Pvt Ltd,256
3,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Funded Startup,81
,1,0.624,,Has relevent experience,Full time course,Graduate,STEM,2,100-500,,37
never,1,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,8,100-500,Pvt Ltd,162
1,1,0.698,Male,Has relevent experience,Full time course,Graduate,STEM,3,,,83
>4,1,0.92,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,5
2,1,0.893,Male,Has relevent experience,Full time course,High School,,5,,,36
>4,1,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,97
1,1,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,100-500,Pvt Ltd,57
>4,1,0.767,Male,No relevent experience,Full time course,Masters,STEM,9,100-500,NGO,24
2,1,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,7,100-500,Funded Startup,53
>4,1,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,19,,,14
1,1,0.479,,No relevent experience,,Graduate,STEM,1,100-500,Pvt Ltd,110
1,1,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,3,,,97
never,1,0.92,,No relevent experience,Full time course,Graduate,STEM,7,,,109
never,1,0.91,Male,No relevent experience,Full time course,Graduate,STEM,3,,,35
2,1,0.624,Male,Has relevent experience,Full time course,Primary School,,2,100-500,Public Sector,50
3,1,0.92,Female,Has relevent experience,no_enrollment,Graduate,Humanities,4,500-999,Funded Startup,127
,1,0.92,,No relevent experience,Full time course,Graduate,STEM,2,,,26
1,1,0.926,Male,No relevent experience,Full time course,Masters,STEM,5,,,10
2,1,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,28
1,1,0.939,,No relevent experience,no_enrollment,High School,,1,1000-4999,Pvt Ltd,83
1,1,0.55,Male,Has relevent experience,Full time course,Graduate,STEM,4,<10,,69
1,1,0.624,,No relevent experience,Full time course,Masters,STEM,6,,,3
>4,1,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,5,100-500,Pvt Ltd,91
1,1,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,16,Oct-49,Pvt Ltd,46
>4,1,0.926,Male,No relevent experience,Full time course,Masters,STEM,19,,,13
>4,1,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,,,3
1,1,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,94
1,1,0.843,,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,Funded Startup,70
1,1,0.926,,Has relevent experience,no_enrollment,Graduate,STEM,14,,,65
1,1,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,2,,,65
1,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,57
1,1,0.913,,Has relevent experience,no_enrollment,Graduate,Humanities,<1,<10,NGO,18
1,1,0.558,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,Oct-49,Pvt Ltd,11
never,1,0.624,Male,No relevent experience,no_enrollment,,,7,,,46
never,1,0.698,Female,No relevent experience,Full time course,Graduate,STEM,2,,,18
1,1,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,,,55
4,1,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,Oct-49,Pvt Ltd,22
1,1,0.55,,No relevent experience,Full time course,Graduate,STEM,4,Oct-49,Pvt Ltd,156
1,1,0.92,Male,No relevent experience,Full time course,High School,,4,,,28
1,1,0.897,Male,No relevent experience,Full time course,Phd,STEM,14,Oct-49,Public Sector,12
>4,1,0.92,,No relevent experience,no_enrollment,Graduate,STEM,<1,,,125
1,1,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,,,47
2,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,,,55
>4,1,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,4
1,1,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,<10,Pvt Ltd,12
1,1,0.55,Male,Has relevent experience,,Graduate,STEM,2,Oct-49,Pvt Ltd,3
1,1,0.897,Male,No relevent experience,Full time course,Graduate,STEM,2,,,46
>4,1,0.754,Male,Has relevent experience,no_enrollment,Masters,STEM,15,1000-4999,Public Sector,7
1,1,0.558,Male,No relevent experience,Full time course,Graduate,Other,4,,,43
1,1,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,48
1,1,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,,,24
1,1,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,4,,,155
1,1,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,18,,,12
1,1,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,3,Oct-49,Early Stage Startup,202
never,1,0.624,,No relevent experience,Full time course,,,2,,,15
never,1,0.624,Male,No relevent experience,no_enrollment,High School,,7,,,136
1,1,0.624,,No relevent experience,Full time course,Graduate,STEM,3,50-99,Funded Startup,26
never,1,0.624,Male,No relevent experience,Full time course,High School,,7,,,88
1,1,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,304
2,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,Oct-49,Funded Startup,83
2,1,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,Oct-49,Early Stage Startup,3
never,1,0.624,Male,No relevent experience,Full time course,Graduate,STEM,5,,,34
never,1,0.624,Male,No relevent experience,Full time course,Graduate,STEM,5,,,111
never,1,0.698,Male,No relevent experience,Full time course,Graduate,STEM,<1,,,82
1,1,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,3,,,284
>4,1,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,,,24
1,1,0.624,,Has relevent experience,Full time course,Graduate,STEM,8,10000+,Pvt Ltd,6
1,1,0.92,Female,Has relevent experience,no_enrollment,Masters,Humanities,>20,,,8
1,1,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,3,,,2
1,1,0.92,Male,No relevent experience,Part time course,Graduate,STEM,8,,,9
never,1,0.624,Male,No relevent experience,Full time course,Graduate,STEM,1,,,22
1,1,0.624,,Has relevent experience,no_enrollment,Masters,STEM,7,10000+,Pvt Ltd,34
never,1,0.555,Male,No relevent experience,Full time course,Graduate,STEM,2,,Pvt Ltd,25
1,1,0.689,,No relevent experience,Full time course,Primary School,,4,,,42
never,1,0.624,,Has relevent experience,Full time course,Masters,STEM,5,,,24
1,1,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,5,,,60
1,1,0.887,,No relevent experience,no_enrollment,High School,,4,,,72
1,1,0.624,Male,No relevent experience,Full time course,,,2,,,31
>4,1,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,5000-9999,Public Sector,28
never,1,0.92,Male,No relevent experience,Full time course,Graduate,STEM,4,,Public Sector,82
1,1,0.754,Male,Has relevent experience,Full time course,High School,,7,,,76
1,1,0.624,,No relevent experience,no_enrollment,Graduate,STEM,<1,10000+,Pvt Ltd,77
>4,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,500-999,Pvt Ltd,29
never,1,0.527,Male,No relevent experience,Full time course,High School,,4,,Pvt Ltd,56
never,1,0.558,Male,No relevent experience,Part time course,Graduate,STEM,2,Oct-49,Pvt Ltd,71
1,1,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,8,,,23
